ID,none_avg_pct,D0_avg_pct,D1_avg_pct,D2_avg_pct,D3_avg_pct,D4_avg_pct,total_acres_burned
101,0.0,48.09,51.91,46.25,0.0,0.0,51606.0
102,0.0,68.53,31.469999999999995,66.715,0.0,0.0,1708.0
103,0.0,95.20599999999999,4.794000000000006,93.43599999999999,0.0,0.0,72332.0
104,0.0,87.11,12.890000000000004,85.34,8.52,0.0,335755.0
105,1.315,82.155,16.53,80.03,11.36,0.0,11184.0
106,2.624,74.174,23.201999999999998,72.76,11.36,0.0,2236.0
107,2.6125,66.10249999999999,31.285,64.2475,19.474999999999998,0.0,3505.0
108,2.61,59.589999999999996,37.800000000000004,56.40999999999999,27.589999999999996,0.0,
109,1.43,40.844999999999985,57.72500000000001,36.4725,52.8425,2.1925,1952.0
110,0.715,43.17749999999999,56.10750000000001,38.3475,52.4375,15.1125,
111,0.005,49.0925,50.9025,46.2775,46.2025,22.632500000000004,
112,0.0,47.71999999999999,52.28000000000001,47.604,47.92600000000001,24.002,2143.0
113,0.0,47.07249999999999,52.92750000000001,47.07249999999999,51.91000000000001,24.77,10367.0
114,0.0,52.19,47.81,52.19,47.81,28.874999999999996,3895.0
115,0.0,60.148,39.85199999999999,60.148,39.85199999999999,40.86200000000001,164857.0
116,0.0,74.6425,25.357500000000005,74.6425,23.510000000000005,58.41,4045.0
117,0.0,71.81800000000001,28.182000000000006,71.81800000000001,23.510000000000005,58.40999999999999,99092.0
118,0.0,71.53,28.47,71.53,23.510000000000005,58.41,
119,0.0,70.0925,29.907499999999995,69.81,24.61,55.08,
120,0.0,58.246,41.754,57.122,37.282000000000004,41.35799999999999,
121,0.0,56.21500000000001,43.78499999999999,54.34000000000001,39.99999999999999,37.625,
122,0.16,65.52000000000001,34.31999999999999,63.7875,29.684999999999995,40.275000000000006,
123,0.156,68.576,31.267999999999994,66.84,26.599999999999994,40.516,
124,0.14250000000000002,74.13250000000001,25.724999999999994,72.385,21.054999999999993,45.545,1049.0
125,0.14,75.54250000000002,24.317499999999992,74.07000000000001,19.839999999999993,46.760000000000005,
126,0.14,71.412,28.44799999999999,70.26200000000001,24.056,46.73,32901.0
127,0.14,71.52250000000001,28.337499999999988,69.69250000000001,24.8975,46.1825,253409.0
